fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,mod_proxy,etp_obj,etp_per_credit
st,Pepi,USA,United States,4,1733,0.84,3.55,3.47,6.251,6.775,19.76,0.0,19.76,4.94
m,Elanga,SVE,Sweden,7,1714,0.86,3.6,3.52,6.235,6.503,19.7,0.0,19.7,2.815
m,Eustaquio,CAN,Canada,2,1793,0.72,4.67,4.38,6.299,6.245,19.67,0.0,19.67,9.834
st,Hee-Chan Hwang,KOR,South Korea,6,1756,0.726,4.3,4.1,6.269,6.599,19.64,0.0,19.64,3.273
m,Chaibi,ALG,Algeria,8,1743,0.88,3.6,3.52,6.259,6.339,19.63,0.0,19.63,2.454
cb,Starfelt,SVE,Sweden,3,1714,0.84,3.6,3.52,6.235,6.142,18.18,1.39,19.57,6.523
m,Ezatolahi,IRN,Iran,1,1764,0.725,4.29,4.09,6.276,6.593,19.53,0.0,19.53,19.533
cb,Cornelius D.,CAN,Canada,1,1793,0.647,4.67,4.38,6.299,6.299,17.82,1.69,19.52,19.518
gk,El Shenawy,EGY,Egypt,4,1699,0.92,3.86,3.75,6.149,5.21,17.96,1.54,19.5,4.876
cb,Jurasek D.,RCE,Czech Republic,3,1733,0.735,4.15,3.99,6.251,6.128,17.96,1.47,19.43,6.477
m,Ferguson,SCO,Scotland,6,1770,0.8,3.99,3.86,6.281,6.256,19.3,0.0,19.3,3.217
cb,Mandi,ALG,Algeria,2,1743,0.82,3.6,3.52,6.259,6.165,17.79,1.49,19.29,9.643
m,Zubimendi,SPA,Spain,16,2165,0.5,7.1,5.64,6.6,6.837,19.27,0.0,19.27,1.205
st,Watkins,ING,England,19,2020,0.5,5.84,5.03,6.483,7.661,19.25,0.0,19.25,1.013
m,Godoy,PAN,Panama,1,1733,0.84,3.81,3.71,6.251,6.173,19.23,0.0,19.23,19.235
m,Jackson,SEN,Senegal,13,1866,0.647,4.39,4.13,6.358,7.198,19.22,0.0,19.22,1.479
m,Barcola,FRA,France,30,2081,0.5,6.51,5.38,6.532,7.136,19.21,0.0,19.21,0.64
m,Bergvall,SVE,Sweden,7,1714,0.88,3.6,3.52,6.235,6.181,19.16,0.0,19.16,2.738
cb,Kolasinac,BOS,Bosnia and Herzegovina,3,1591,0.86,3.63,3.56,6.136,5.99,18.32,0.83,19.15,6.383
st,Benchimol,CPV,Cape Verde,1,1576,0.88,3.2,3.18,6.124,6.829,19.11,0.0,19.11,19.111
m,Casemiro,BRA,Brazil,5,1988,0.585,5.35,4.76,6.457,6.866,19.1,0.0,19.1,3.82
st,Lopez J.M.,ARG,Argentina,18,2113,0.5,6.79,5.48,6.558,6.965,19.09,0.0,19.09,1.061
st,Giuliano Simeone,ARG,Argentina,3,2113,0.499,6.79,5.48,6.558,6.982,19.08,0.0,19.08,6.361
m,Fayzullaev,UZB,Uzbekistan,2,1718,0.88,3.44,3.39,6.239,6.371,19.0,0.0,19.0,9.502
gk,Alban Lafont,CIV,Ivory Coast,4,1676,0.92,3.82,3.72,6.136,5.143,17.58,1.4,18.98,4.745
m,Saibari,MAR,Morocco,13,1822,0.649,4.28,4.08,6.323,7.163,18.98,0.0,18.98,1.46
gk,Zidane,ALG,Algeria,3,1743,0.92,3.6,3.52,6.173,5.337,17.28,1.68,18.96,6.319
cb,Ekdal H.,SVE,Sweden,2,1714,0.82,3.6,3.52,6.235,6.089,17.59,1.36,18.95,9.476
m,Olmo,SPA,Spain,14,2165,0.5,7.1,5.64,6.6,6.711,18.92,0.0,18.92,1.351
m,Boudaoui,ALG,Algeria,7,1743,0.86,3.6,3.52,6.259,6.234,18.87,0.0,18.87,2.695
m,Hrustic,AUS,Australia,1,1775,0.795,3.9,3.76,6.285,6.302,18.84,0.0,18.84,18.838
cb,Celik N.,BOS,Bosnia and Herzegovina,2,1591,0.84,3.63,3.56,6.136,5.99,17.89,0.81,18.7,9.352
m,Irvine,AUS,Australia,1,1775,0.8,3.9,3.76,6.285,6.207,18.67,0.0,18.67,18.672
st,Yilmaz B.A.,TUR,Turkey,11,1906,0.55,5.12,4.65,6.391,7.298,18.67,0.0,18.67,1.697
cb,Abu Dahab,GRD,Jordan,1,1685,0.88,3.3,3.27,6.212,6.066,17.43,1.22,18.65,18.647
m,Almada,ARG,Argentina,10,2113,0.5,6.79,5.48,6.558,6.794,18.62,0.0,18.62,1.862
st,Amanov,UZB,Uzbekistan,1,1718,0.84,3.44,3.39,6.239,6.525,18.58,0.0,18.58,18.579
m,Svanberg,SVE,Sweden,6,1714,0.84,3.6,3.52,6.235,6.276,18.57,0.0,18.57,3.095
gk,Freese,USA,United States,8,1733,0.92,3.55,3.47,6.167,5.308,16.95,1.6,18.56,2.319
gk,Johansson,SVE,Sweden,5,1714,0.92,3.6,3.52,6.157,5.253,17.03,1.53,18.55,3.71
m,Al-Dawoud,GRD,Jordan,1,1685,0.88,3.3,3.27,6.212,6.449,18.53,0.0,18.53,18.53
cb,Ashurmatov,UZB,Uzbekistan,1,1718,0.829,3.44,3.39,6.239,6.116,17.18,1.34,18.52,18.518
cb,Sarr M.,SEN,Senegal,13,1866,0.647,4.39,4.13,6.358,6.212,16.59,1.91,18.51,1.423
m,Gigovic,BOS,Bosnia and Herzegovina,2,1591,0.84,3.63,3.56,6.136,6.176,18.45,0.0,18.45,9.225
m,Dunga,EGY,Egypt,1,1699,0.8,3.86,3.75,6.223,6.146,18.43,0.0,18.43,18.427
cb,Degenek,AUS,Australia,1,1775,0.725,3.9,3.76,6.285,6.186,16.86,1.55,18.42,18.416
st,Sorloth,NOR,Norway,7,1917,0.6,4.8,4.42,6.399,6.948,18.41,0.0,18.41,2.63
cb,Muharemovic,BOS,Bosnia and Herzegovina,2,1591,0.82,3.63,3.56,6.136,6.037,17.6,0.79,18.4,9.198
st,Semenyo,GHA,Ghana,10,1503,0.84,3.03,3.02,6.065,7.242,18.4,0.0,18.4,1.84
st,Budimir,CRO,Croatia,2,1930,0.55,4.84,4.46,6.41,7.483,18.35,0.0,18.35,9.176
st,Ogawa,JAP,Japan,1,1906,0.581,4.86,4.47,6.391,7.045,18.28,0.0,18.28,18.283
cb,Eshmurodov,UZB,Uzbekistan,1,1718,0.82,3.44,3.39,6.239,6.093,16.94,1.33,18.26,18.262
