fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,mod_proxy,etp_obj,etp_per_credit
st,Avalos,PAR,Paraguay,1,1833,0.55,4.45,4.18,6.332,6.932,15.95,0.0,15.95,15.949
m,Noslin,CUW,Curacao,3,1433,0.88,3.02,3.02,6.008,6.001,15.94,0.0,15.94,5.314
st,Cho-Gue Sung,KOR,South Korea,2,1756,0.542,4.3,4.1,6.269,7.169,15.94,0.0,15.94,7.97
cb,Arcus,HAI,Haiti,1,1532,0.86,3.03,3.03,6.088,5.942,15.46,0.46,15.92,15.92
m,Danley,HAI,Haiti,2,1532,0.86,3.03,3.03,6.088,6.116,15.91,0.0,15.91,7.956
cb,Arias,COL,Colombia,1,1977,0.465,5.3,4.75,6.448,6.302,13.91,1.98,15.88,15.885
cb,Opoku,GHA,Ghana,3,1503,0.86,3.03,3.02,6.065,5.971,15.53,0.34,15.87,5.289
gk,Mpasi-Nzau,COD,DR Congo,3,1655,0.92,3.18,3.16,6.125,5.082,14.76,1.09,15.85,5.284
cb,De Cuyper,BEL,Belgium,7,1866,0.5,4.93,4.55,6.358,6.26,14.23,1.63,15.85,2.265
m,Ashour,EGY,Egypt,2,1699,0.681,3.86,3.75,6.223,6.193,15.82,0.0,15.82,7.909
m,Abdurisag,QAT,Qatar,1,1423,0.86,3.06,3.06,6.0,6.017,15.81,0.0,15.81,15.813
st,Fajardo,PAN,Panama,1,1733,0.661,3.81,3.71,6.251,6.445,15.81,0.0,15.81,15.814
cb,Sutalo,CRO,Croatia,11,1930,0.5,4.84,4.46,6.41,6.264,13.97,1.83,15.79,1.436
cb,Boxall,NZL,New Zealand,1,1585,0.795,3.2,3.18,6.131,5.985,15.13,0.66,15.79,15.791
m,De Ketelaere,BEL,Belgium,11,1866,0.5,4.93,4.55,6.358,6.947,15.79,0.0,15.79,1.435
st,Kastaneer,CUW,Curacao,1,1433,0.84,3.02,3.02,6.008,6.226,15.79,0.0,15.79,15.787
m,Alan Franco,ECU,Ecuador,2,1935,0.535,5.12,4.65,6.414,6.337,15.75,0.0,15.75,7.876
m,Chong,CUW,Curacao,2,1433,0.84,3.02,3.02,6.008,6.205,15.73,0.0,15.73,7.866
st,Deedson,HAI,Haiti,1,1532,0.84,3.03,3.03,6.088,6.188,15.73,0.0,15.73,15.726
m,Puerta,COL,Colombia,3,1977,0.5,5.3,4.75,6.448,6.624,15.72,0.0,15.72,5.239
st,Valencia E.,ECU,Ecuador,1,1935,0.475,5.12,4.65,6.414,7.118,15.71,0.0,15.71,15.709
cb,Pedersen,NOR,Norway,3,1917,0.5,4.8,4.42,6.399,6.306,13.93,1.76,15.69,5.23
m,Timber Q.,OLA,Netherlands,18,1961,0.5,5.37,4.78,6.435,6.567,15.69,0.0,15.69,0.871
m,Jamiro Monteiro,CPV,Cape Verde,1,1576,0.8,3.2,3.18,6.124,6.151,15.65,0.0,15.65,15.648
st,Ayoube,MAR,Morocco,2,1822,0.55,4.28,4.08,6.323,6.976,15.65,0.0,15.65,7.826
st,Oluwasei,CAN,Canada,2,1793,0.546,4.67,4.38,6.299,6.541,15.65,0.0,15.65,7.823
cb,Delcroix,HAI,Haiti,1,1532,0.84,3.03,3.03,6.088,5.966,15.16,0.45,15.61,15.609
m,Al-Haydos,QAT,Qatar,1,1423,0.84,3.06,3.06,6.0,6.08,15.61,0.0,15.61,15.607
m,Cristian Martinez,PAN,Panama,1,1733,0.671,3.81,3.71,6.251,6.268,15.61,0.0,15.61,15.612
cb,Kabini,SAF,South Africa,1,1517,0.84,3.06,3.05,6.076,5.93,15.21,0.39,15.6,15.604
cb,Elliot,NZL,New Zealand,1,1585,0.785,3.2,3.18,6.131,5.985,14.94,0.65,15.59,15.592
m,Al-Rashdan,GRD,Jordan,1,1685,0.755,3.3,3.27,6.212,6.319,15.58,0.0,15.58,15.577
m,Ali-Ahmed,CAN,Canada,1,1793,0.55,4.67,4.38,6.299,6.473,15.58,0.0,15.58,15.583
gk,Dahmen,TUN,Tunisia,3,1633,0.92,3.18,3.16,6.113,5.018,14.57,0.99,15.56,5.186
cb,Al-Brake,QAT,Qatar,1,1423,0.86,3.06,3.06,6.0,5.907,15.52,0.0,15.52,15.523
m,Bell,NZL,New Zealand,1,1585,0.805,3.2,3.18,6.131,6.054,15.49,0.0,15.49,15.493
st,Chytil,RCE,Czech Republic,2,1733,0.55,4.15,3.99,6.251,7.061,15.49,0.0,15.49,7.743
m,Garbett,NZL,New Zealand,1,1585,0.795,3.2,3.18,6.131,6.124,15.48,0.0,15.48,15.48
m,Matheus Nunes,POR,Portugal,15,1984,0.5,5.4,4.81,6.454,6.429,15.45,0.0,15.45,1.03
cb,Watanabe,JAP,Japan,3,1906,0.484,4.86,4.47,6.391,6.363,13.76,1.69,15.44,5.148
cb,Old,NZL,New Zealand,1,1585,0.75,3.2,3.18,6.131,6.213,14.81,0.62,15.44,15.44
cb,Laryea,CAN,Canada,1,1793,0.518,4.67,4.38,6.299,6.201,14.06,1.36,15.42,15.416
cb,Baba,GHA,Ghana,1,1503,0.82,3.03,3.02,6.065,6.076,15.07,0.32,15.39,15.388
cb,Makhanya,SAF,South Africa,1,1517,0.82,3.06,3.05,6.076,5.983,14.98,0.38,15.36,15.364
cb,Abu Taha,GRD,Jordan,1,1685,0.714,3.3,3.27,6.212,6.16,14.36,0.99,15.35,15.35
m,Al-Johani,SAU,Saudi Arabia,1,1566,0.8,3.18,3.16,6.116,6.062,15.34,0.0,15.34,15.336
m,Bellegarde,HAI,Haiti,1,1532,0.84,3.03,3.03,6.088,6.034,15.34,0.0,15.34,15.335
m,Mckennie,USA,United States,8,1733,0.671,3.55,3.47,6.251,6.568,15.31,0.0,15.31,1.914
m,Ghoddos,IRN,Iran,1,1764,0.592,4.29,4.09,6.276,6.316,15.27,0.0,15.27,15.267
cb,Bazoer,CUW,Curacao,2,1433,0.86,3.02,3.02,6.008,5.862,15.22,0.04,15.26,7.63
cb,Duverne,HAI,Haiti,1,1532,0.82,3.03,3.03,6.088,5.966,14.8,0.44,15.24,15.238
m,Harvey,PAN,Panama,1,1733,0.641,3.81,3.71,6.251,6.392,15.21,0.0,15.21,15.211
cb,Hranac,RCE,Czech Republic,2,1733,0.575,4.15,3.99,6.251,6.128,14.05,1.15,15.2,7.6
m,Vlasic,CRO,Croatia,9,1930,0.5,4.84,4.46,6.41,6.805,15.17,0.0,15.17,1.686
cb,Al-Hussain,QAT,Qatar,1,1423,0.84,3.06,3.06,6.0,5.907,15.16,0.0,15.16,15.162
st,Isak,SVE,Sweden,23,1714,0.66,3.6,3.52,6.235,6.521,15.16,0.0,15.16,0.659
st,Ayensa,IRN,Iran,1,1764,0.55,4.29,4.09,6.276,6.719,15.1,0.0,15.1,15.101
st,Chaouat,TUN,Tunisia,1,1633,0.71,3.18,3.16,6.17,6.733,15.08,0.0,15.08,15.077
gk,Crocombe,NZL,New Zealand,1,1585,0.92,3.2,3.18,6.087,4.879,14.27,0.77,15.04,15.039
m,Onana Am.,BEL,Belgium,13,1866,0.5,4.93,4.55,6.358,6.602,15.0,0.0,15.0,1.154
st,Strand Larsen,NOR,Norway,5,1917,0.475,4.8,4.42,6.399,7.15,15.0,0.0,15.0,3.0
m,Lo Celso,ARG,Argentina,3,2113,0.403,6.79,5.48,6.558,6.771,14.96,0.0,14.96,4.986
cb,Al-Oui,QAT,Qatar,1,1423,0.82,3.06,3.06,6.0,5.959,14.93,0.0,14.93,14.932
gk,Vozinha,CPV,Cape Verde,3,1576,0.92,3.2,3.18,6.082,4.853,14.2,0.72,14.92,4.974
cb,Abualnadi,GRD,Jordan,1,1685,0.704,3.3,3.27,6.212,6.066,13.94,0.97,14.92,14.918
st,Lukaku,BEL,Belgium,21,1866,0.506,4.93,4.55,6.358,6.487,14.92,0.0,14.92,0.71
cb,Brenet,CUW,Curacao,1,1433,0.84,3.02,3.02,6.008,5.862,14.86,0.04,14.91,14.905
cb,Richards,USA,United States,8,1733,0.644,3.55,3.47,6.251,6.152,13.75,1.12,14.88,1.859
m,Sadilek M.,RCE,Czech Republic,2,1733,0.6,4.15,3.99,6.251,6.22,14.88,0.0,14.88,7.441
m,Felida,CUW,Curacao,2,1433,0.8,3.02,3.02,6.008,6.14,14.83,0.0,14.83,7.414
m,Arcanjo,CPV,Cape Verde,1,1576,0.765,3.2,3.18,6.124,6.093,14.82,0.0,14.82,14.823
st,Al-Buraikan,SAU,Saudi Arabia,2,1566,0.715,3.18,3.16,6.116,6.518,14.74,0.0,14.74,7.369
gk,Al-Aqidi,SAU,Saudi Arabia,5,1566,0.92,3.18,3.16,6.077,4.824,14.04,0.67,14.71,2.942
m,Mbatha,SAF,South Africa,1,1517,0.8,3.06,3.05,6.076,6.022,14.71,0.0,14.71,14.714
m,Duarte De.,CPV,Cape Verde,1,1576,0.755,3.2,3.18,6.124,6.117,14.69,0.0,14.69,14.686
cb,Floranus,CUW,Curacao,1,1433,0.82,3.02,3.02,6.008,5.915,14.64,0.04,14.68,14.68
m,Casimir,HAI,Haiti,1,1532,0.8,3.03,3.03,6.088,6.063,14.67,0.0,14.67,14.675
st,Randall,NZL,New Zealand,1,1585,0.7,3.2,3.18,6.131,6.576,14.64,0.0,14.64,14.636
st,Diatta,SEN,Senegal,3,1866,0.55,4.39,4.13,6.358,6.434,14.62,0.0,14.62,4.873
m,Castrop,KOR,South Korea,1,1756,0.569,4.3,4.1,6.269,6.263,14.61,0.0,14.61,14.606
m,Sucic L.,CRO,Croatia,7,1930,0.5,4.84,4.46,6.41,6.542,14.59,0.0,14.59,2.084
st,Al-Mardi,GRD,Jordan,1,1685,0.703,3.3,3.27,6.212,6.359,14.59,0.0,14.59,14.586
gk,Fadhil,IRQ,Iraq,1,1608,0.92,3.02,3.02,6.1,4.946,13.73,0.83,14.56,14.564
cb,Ait-Nouri,ALG,Algeria,13,1743,0.623,3.6,3.52,6.259,6.113,13.41,1.14,14.55,1.119
m,Baturina,CRO,Croatia,8,1930,0.5,4.84,4.46,6.41,6.521,14.54,0.0,14.54,1.817
cb,Mojica,COL,Colombia,1,1977,0.425,5.3,4.75,6.448,6.302,12.71,1.81,14.52,14.518
m,Partey,GHA,Ghana,4,1503,0.8,3.03,3.02,6.065,5.987,14.48,0.0,14.48,3.621
cb,Scally,USA,United States,3,1733,0.624,3.55,3.47,6.251,6.152,13.33,1.09,14.41,4.804
m,Al-Rawabdeh,GRD,Jordan,1,1685,0.714,3.3,3.27,6.212,6.182,14.41,0.0,14.41,14.411
m,Alcivar,ECU,Ecuador,2,1935,0.475,5.12,4.65,6.414,6.517,14.38,0.0,14.38,7.191
cb,Caceres J.J.,PAR,Paraguay,1,1833,0.5,4.45,4.18,6.332,6.209,12.99,1.39,14.37,14.374
st,Kalajdzic,AUT,Austria,1,1830,0.55,3.98,3.85,6.329,6.773,14.32,0.0,14.32,14.325
m,Akgun,TUR,Turkey,4,1906,0.45,5.12,4.65,6.391,6.838,14.31,0.0,14.31,3.578
cb,Piquerez,URU,Uruguay,4,1892,0.5,4.29,4.09,6.379,6.233,12.74,1.55,14.3,3.574
cb,Freeman,USA,United States,2,1733,0.603,3.55,3.47,6.251,6.324,13.24,1.05,14.29,7.144
m,Pedro Vite,ECU,Ecuador,2,1935,0.475,5.12,4.65,6.414,6.431,14.19,0.0,14.19,7.097
st,Benbouali,ALG,Algeria,1,1743,0.55,3.6,3.52,6.259,7.332,14.19,0.0,14.19,14.192
cb,Moon-Hwan KIM,KOR,South Korea,1,1756,0.518,4.3,4.1,6.269,6.123,12.99,1.14,14.13,14.131
st,Hosseinzadeh,IRN,Iran,1,1764,0.499,4.29,4.09,6.276,6.933,14.12,0.0,14.12,14.122
m,McCowatt,NZL,New Zealand,1,1585,0.7,3.2,3.18,6.131,6.337,14.1,0.0,14.1,14.103
st,Dykes,SCO,Scotland,1,1770,0.55,3.99,3.86,6.281,6.619,14.04,0.0,14.04,14.04
cb,Riad,MAR,Morocco,4,1822,0.5,4.28,4.08,6.323,6.229,12.71,1.32,14.02,3.506
m,Sulemana K.,GHA,Ghana,10,1503,0.765,3.03,3.02,6.065,6.058,14.01,0.0,14.01,1.401
st,Haji Wright,USA,United States,3,1733,0.55,3.55,3.47,6.251,7.271,13.88,0.0,13.88,4.628
cb,Romo,MEX,Mexico,2,1868,0.434,4.99,4.58,6.36,6.238,12.4,1.43,13.84,6.918
m,Baah,GHA,Ghana,5,1503,0.755,3.03,3.02,6.065,6.058,13.83,0.0,13.83,2.766
m,Castillo,ECU,Ecuador,3,1935,0.45,5.12,4.65,6.414,6.576,13.75,0.0,13.75,4.583
gk,Duverger,HAI,Haiti,1,1532,0.92,3.03,3.03,6.059,4.726,13.15,0.49,13.64,13.644
st,Hyeon-gyu Oh,KOR,South Korea,1,1756,0.473,4.3,4.1,6.269,7.044,13.64,0.0,13.64,13.643
cb,Adjetey,GHA,Ghana,1,1503,0.745,3.03,3.02,6.065,5.919,13.33,0.29,13.63,13.626
cb,Talbi,TUN,Tunisia,3,1633,0.654,3.18,3.16,6.17,6.243,12.89,0.7,13.59,4.529
st,Guessand,CIV,Ivory Coast,4,1676,0.55,3.82,3.72,6.205,6.649,13.59,0.0,13.59,3.397
st,Velupillay,AUS,Australia,1,1775,0.55,3.9,3.76,6.285,6.571,13.59,0.0,13.59,13.589
gk,Williams,SAF,South Africa,7,1517,0.92,3.06,3.05,6.051,4.682,13.16,0.43,13.58,1.941
m,Tillman,USA,United States,7,1733,0.614,3.55,3.47,6.251,6.362,13.56,0.0,13.56,1.937
st,Hussein A.,IRQ,Iraq,1,1608,0.673,3.02,3.02,6.15,6.658,13.53,0.0,13.53,13.532
cb,Diouf M.,SEN,Senegal,1,1866,0.457,4.39,4.13,6.358,6.432,12.13,1.35,13.48,13.48
st,Ismael Diaz,PAN,Panama,1,1733,0.55,3.81,3.71,6.251,6.563,13.39,0.0,13.39,13.389
m,Al-Dawsari S.,SAU,Saudi Arabia,1,1566,0.655,3.18,3.16,6.116,6.457,13.37,0.0,13.37,13.375
st,Adel,EGY,Egypt,1,1699,0.55,3.86,3.75,6.223,6.457,13.31,0.0,13.31,13.31
gk,Asare,GHA,Ghana,3,1503,0.92,3.03,3.02,6.043,4.642,12.91,0.36,13.27,4.425
cb,Affengruber,AUT,Austria,3,1830,0.5,3.98,3.85,6.329,6.236,11.99,1.27,13.26,4.419
m,Skhiri,TUN,Tunisia,4,1633,0.69,3.18,3.16,6.17,6.092,13.26,0.0,13.26,3.314
st,Toney,ING,England,17,2020,0.3,5.84,5.03,6.483,8.762,13.21,0.0,13.21,0.777
st,Nygren,SVE,Sweden,4,1714,0.55,3.6,3.52,6.235,6.807,13.19,0.0,13.19,3.298
m,Kamada,JAP,Japan,4,1906,0.454,4.86,4.47,6.391,6.493,13.17,0.0,13.17,3.292
m,Quintero,COL,Colombia,1,1977,0.425,5.3,4.75,6.448,6.465,13.04,0.0,13.04,13.039
cb,Hendry,SCO,Scotland,2,1770,0.5,3.99,3.86,6.281,6.187,11.93,1.08,13.01,6.507
m,Jin-Gyu Kim,KOR,South Korea,1,1756,0.51,4.3,4.1,6.269,6.215,12.98,0.0,12.98,12.98
m,Chavez L.,MEX,Mexico,2,1868,0.45,4.99,4.58,6.36,6.282,12.95,0.0,12.95,6.477
cb,Al-Amin,QAT,Qatar,1,1423,0.724,3.06,3.06,6.0,5.854,12.94,0.0,12.94,12.943
m,Maza,ALG,Algeria,5,1743,0.584,3.6,3.52,6.259,6.299,12.94,0.0,12.94,2.587
st,Iglesias,SPA,Spain,2,2165,0.3,7.1,5.64,6.6,7.62,12.89,0.0,12.89,6.444
m,Metcalfe,AUS,Australia,1,1775,0.55,3.9,3.76,6.285,6.207,12.84,0.0,12.84,12.837
m,O'Neill,AUS,Australia,1,1775,0.55,3.9,3.76,6.285,6.207,12.84,0.0,12.84,12.837
st,Bazdar S.,BOS,Bosnia and Herzegovina,1,1591,0.55,3.63,3.56,6.136,6.527,12.77,0.0,12.77,12.766
cb,Putros,IRQ,Iraq,1,1608,0.663,3.02,3.02,6.15,6.051,12.12,0.6,12.72,12.716
cb,Mohammadi,IRN,Iran,1,1764,0.465,4.29,4.09,6.276,6.13,11.65,1.05,12.7,12.695
cb,Abdulhamid,SAU,Saudi Arabia,2,1566,0.64,3.18,3.16,6.116,6.041,12.23,0.47,12.69,6.347
cb,De Fougerolles,CAN,Canada,1,1793,0.429,4.67,4.38,6.299,6.153,11.57,1.12,12.69,12.693
m,Al-Mannai,QAT,Qatar,1,1423,0.683,3.06,3.06,6.0,6.041,12.62,0.0,12.62,12.617
m,Al-Ammari,IRQ,Iraq,1,1608,0.683,3.02,3.02,6.15,6.096,12.57,0.0,12.57,12.574
cb,Al-Amri,SAU,Saudi Arabia,2,1566,0.63,3.18,3.16,6.116,6.064,12.08,0.46,12.54,6.271
cb,Hafez,EGY,Egypt,1,1699,0.5,3.86,3.75,6.223,6.235,11.68,0.84,12.52,12.52
st,Sergeev,UZB,Uzbekistan,1,1718,0.558,3.44,3.39,6.239,6.605,12.5,0.0,12.5,12.505
cb,Balerdi,ARG,Argentina,5,2113,0.3,6.79,5.48,6.558,6.465,10.63,1.84,12.47,2.494
m,Ganiev,UZB,Uzbekistan,1,1718,0.592,3.44,3.39,6.239,6.208,12.45,0.0,12.45,12.448
m,Amyn,IRQ,Iraq,1,1608,0.673,3.02,3.02,6.15,6.119,12.44,0.0,12.44,12.438
m,Ojeda,PAR,Paraguay,1,1833,0.475,4.45,4.18,6.332,6.254,12.43,0.0,12.43,12.426
gk,Abunada,QAT,Qatar,1,1423,0.92,3.06,3.06,6.0,4.41,12.4,0.0,12.4,12.398
cb,Davis,PAN,Panama,1,1733,0.5,3.81,3.71,6.251,6.185,11.47,0.93,12.4,12.4
gk,Bodak,CUW,Curacao,1,1433,0.92,3.02,3.02,6.005,4.439,12.33,0.04,12.37,12.372
m,Camara L.,SEN,Senegal,6,1866,0.45,4.39,4.13,6.358,6.626,12.32,0.0,12.32,2.053
m,Tahirovic,BOS,Bosnia and Herzegovina,2,1591,0.55,3.63,3.56,6.136,6.301,12.32,0.0,12.32,6.162
m,Gutierrez B.,MEX,Mexico,2,1868,0.404,4.99,4.58,6.36,6.643,12.3,0.0,12.3,6.148
cb,Gusto,FRA,France,12,2081,0.3,6.51,5.38,6.532,6.544,10.57,1.72,12.29,1.024
m,Al-Dawsari N.,SAU,Saudi Arabia,1,1566,0.64,3.18,3.16,6.116,6.062,12.27,0.0,12.27,12.269
cb,Al-Harbi,SAU,Saudi Arabia,1,1566,0.62,3.18,3.16,6.116,6.017,11.8,0.45,12.25,12.251
m,Nakamura,JAP,Japan,3,1906,0.394,4.86,4.47,6.391,6.957,12.24,0.0,12.24,4.081
cb,Al-Arab,GRD,Jordan,1,1685,0.575,3.3,3.27,6.212,6.09,11.43,0.8,12.23,12.229
cb,Nasrullaev,UZB,Uzbekistan,1,1718,0.548,3.44,3.39,6.239,6.093,11.33,0.89,12.22,12.215
cb,Payne,NZL,New Zealand,1,1585,0.615,3.2,3.18,6.131,5.985,11.7,0.51,12.22,12.215
cb,Sanchez J.,MEX,Mexico,1,1868,0.375,4.99,4.58,6.36,6.375,10.95,1.24,12.19,12.19
cb,Tae-Seok Lee,KOR,South Korea,1,1756,0.432,4.3,4.1,6.269,6.331,11.22,0.95,12.18,12.179
cb,Kossounou,CIV,Ivory Coast,6,1676,0.5,3.82,3.72,6.205,6.111,11.35,0.76,12.11,2.019
m,Ghorbani,IRN,Iran,1,1764,0.476,4.29,4.09,6.276,6.222,12.11,0.0,12.11,12.115
m,Bayesh,IRQ,Iraq,1,1608,0.653,3.02,3.02,6.15,6.096,12.02,0.0,12.02,12.022
st,Waine,NZL,New Zealand,1,1585,0.575,3.2,3.18,6.131,6.553,11.98,0.0,11.98,11.979
st,Al-Hamdan,SAU,Saudi Arabia,1,1566,0.55,3.18,3.16,6.116,6.882,11.97,0.0,11.97,11.97
m,Choiniere,CAN,Canada,1,1793,0.435,4.67,4.38,6.299,6.269,11.94,0.0,11.94,11.936
m,Berg P.,NOR,Norway,2,1917,0.425,4.8,4.42,6.399,6.346,11.91,0.0,11.91,5.956
m,Caballero,PAR,Paraguay,1,1833,0.45,4.45,4.18,6.332,6.307,11.87,0.0,11.87,11.871
cb,Geria,AUS,Australia,1,1775,0.465,3.9,3.76,6.285,6.162,10.77,1.0,11.77,11.77
m,Mendes R.,CPV,Cape Verde,1,1576,0.6,3.2,3.18,6.124,6.164,11.76,0.0,11.76,11.761
cb,Bjorkan,NOR,Norway,2,1917,0.375,4.8,4.42,6.399,6.277,10.4,1.32,11.72,5.86
m,Bentancur,URU,Uruguay,6,1892,0.45,4.29,4.09,6.379,6.354,11.69,0.0,11.69,1.949
cb,Abada,ALG,Algeria,1,1743,0.5,3.6,3.52,6.259,6.113,10.76,0.91,11.67,11.667
cb,Gudmundsson,SVE,Sweden,2,1714,0.5,3.6,3.52,6.235,6.142,10.82,0.83,11.65,5.824
m,Nico Paz,ARG,Argentina,8,2113,0.3,6.79,5.48,6.558,7.007,11.52,0.0,11.52,1.44
cb,Quansah,ING,England,15,2020,0.3,5.84,5.03,6.483,6.599,9.95,1.46,11.41,0.76
m,Dong-Gyeung Lee,KOR,South Korea,1,1756,0.416,4.3,4.1,6.269,6.675,11.38,0.0,11.38,11.382
cb,Nemati,IRN,Iran,1,1764,0.416,4.29,4.09,6.276,6.13,10.43,0.94,11.37,11.371
m,Guiagon,CIV,Ivory Coast,2,1676,0.45,3.82,3.72,6.205,6.757,11.3,0.0,11.3,5.649
m,El Aynaoui,MAR,Morocco,7,1822,0.415,4.28,4.08,6.323,6.658,11.28,0.0,11.28,1.612
st,Mohanad Ali,IRQ,Iraq,1,1608,0.528,3.02,3.02,6.15,7.049,11.24,0.0,11.24,11.243
m,Pino,SPA,Spain,10,2165,0.3,7.1,5.64,6.6,6.641,11.23,0.0,11.23,1.123
cb,Taniguchi,JAP,Japan,1,1906,0.356,4.86,4.47,6.391,6.268,9.97,1.24,11.21,11.21
m,Baena,SPA,Spain,13,2165,0.3,7.1,5.64,6.6,6.627,11.21,0.0,11.21,0.862
m,Schmid,AUT,Austria,4,1830,0.45,3.98,3.85,6.329,6.461,11.18,0.0,11.18,2.795
cb,Karimov,UZB,Uzbekistan,1,1718,0.5,3.44,3.39,6.239,6.093,10.33,0.81,11.14,11.135
cb,Hadzikadunic,BOS,Bosnia and Herzegovina,1,1591,0.5,3.63,3.56,6.136,5.99,10.65,0.48,11.13,11.134
cb,Sanabria J.M.,URU,Uruguay,1,1892,0.375,4.29,4.09,6.379,6.5,9.97,1.16,11.13,11.13
cb,Surman,NZL,New Zealand,1,1585,0.55,3.2,3.18,6.131,6.095,10.66,0.46,11.12,11.116
st,Da Costa,CPV,Cape Verde,1,1576,0.55,3.2,3.18,6.124,6.342,11.09,0.0,11.09,11.091
cb,Konsa,ING,England,11,2020,0.3,5.84,5.03,6.483,6.384,9.63,1.46,11.08,1.007
cb,Waterman,CAN,Canada,1,1793,0.375,4.67,4.38,6.299,6.153,10.1,0.98,11.08,11.083
st,Fakhoury,GRD,Jordan,1,1685,0.506,3.3,3.27,6.212,6.696,11.06,0.0,11.06,11.063
cb,Hany,EGY,Egypt,1,1699,0.449,3.86,3.75,6.223,6.077,10.22,0.75,10.97,10.966
cb,de Vries,NZL,New Zealand,1,1585,0.55,3.2,3.18,6.131,6.009,10.51,0.46,10.97,10.966
m,Vega,MEX,Mexico,2,1868,0.375,4.99,4.58,6.36,6.377,10.96,0.0,10.96,5.478
m,Martinez Em.,URU,Uruguay,5,1892,0.425,4.29,4.09,6.379,6.302,10.95,0.0,10.95,2.19
m,Barco,ARG,Argentina,5,2113,0.3,6.79,5.48,6.558,6.638,10.92,0.0,10.92,2.183
st,Bongonda,COD,DR Congo,2,1655,0.55,3.18,3.16,6.188,6.264,10.88,0.0,10.88,5.439
st,Urunov,UZB,Uzbekistan,1,1718,0.475,3.44,3.39,6.239,6.751,10.87,0.0,10.87,10.87
m,Gilmour,SCO,Scotland,5,1770,0.45,3.99,3.86,6.281,6.256,10.86,0.0,10.86,2.171
cb,Katic,BOS,Bosnia and Herzegovina,1,1591,0.465,3.63,3.56,6.136,6.233,10.31,0.45,10.76,10.756
m,Quintero A.,PAN,Panama,1,1733,0.45,3.81,3.71,6.251,6.435,10.74,0.0,10.74,10.742
m,Weah,USA,United States,5,1733,0.495,3.55,3.47,6.251,6.244,10.72,0.0,10.72,2.144
st,Joao Felix,POR,Portugal,9,1984,0.3,5.4,4.81,6.454,7.418,10.69,0.0,10.69,1.188
m,Palacios E.,ARG,Argentina,14,2113,0.3,6.79,5.48,6.558,6.48,10.66,0.0,10.66,0.761
m,Manu Kone,FRA,France,12,2081,0.3,6.51,5.38,6.532,6.559,10.6,0.0,10.6,0.883
cb,Bushiri,COD,DR Congo,1,1655,0.5,3.18,3.16,6.188,6.304,9.95,0.59,10.54,10.544
st,Locadia,CUW,Curacao,1,1433,0.55,3.02,3.02,6.008,6.347,10.54,0.0,10.54,10.537
st,Fortune,HAI,Haiti,1,1532,0.55,3.03,3.03,6.088,6.322,10.52,0.0,10.52,10.519
st,Maseko,SAF,South Africa,1,1517,0.55,3.06,3.05,6.076,6.257,10.51,0.0,10.51,10.511
m,Leckie,AUS,Australia,1,1775,0.45,3.9,3.76,6.285,6.207,10.5,0.0,10.5,10.503
cb,Ibanez,BRA,Brazil,8,1988,0.3,5.35,4.76,6.457,6.405,9.14,1.3,10.44,1.305
m,Fathy,EGY,Egypt,1,1699,0.45,3.86,3.75,6.223,6.193,10.44,0.0,10.44,10.445
cb,Wieffer,OLA,Netherlands,13,1961,0.3,5.37,4.78,6.435,6.394,9.16,1.25,10.41,0.801
st,Hernandez C.,COL,Colombia,3,1977,0.3,5.3,4.75,6.448,7.311,10.41,0.0,10.41,3.47
cb,Mina,COL,Colombia,2,1977,0.3,5.3,4.75,6.448,6.407,9.12,1.28,10.4,5.199
cb,Douglas Santos,BRA,Brazil,6,1988,0.3,5.35,4.76,6.457,6.358,9.07,1.3,10.37,1.729
st,El Kaabi,MAR,Morocco,2,1822,0.341,4.28,4.08,6.323,7.443,10.34,0.0,10.34,5.169
m,Al-Juwayr,SAU,Saudi Arabia,1,1566,0.525,3.18,3.16,6.116,6.203,10.3,0.0,10.3,10.299
st,Almoez Ali,QAT,Qatar,1,1423,0.55,3.06,3.06,6.0,6.129,10.3,0.0,10.3,10.301
st,Itten,SVI,Switzerland,1,1894,0.3,5.15,4.69,6.381,7.296,10.27,0.0,10.27,10.269
cb,Ditta,COL,Colombia,2,1977,0.3,5.3,4.75,6.448,6.302,8.97,1.28,10.25,5.124
m,Jamous,GRD,Jordan,1,1685,0.488,3.3,3.27,6.212,6.435,10.24,0.0,10.24,10.243
m,Stamenic,NZL,New Zealand,1,1585,0.525,3.2,3.18,6.131,6.124,10.22,0.0,10.22,10.223
st,Nuamah,GHA,Ghana,9,1503,0.55,3.03,3.02,6.065,6.141,10.21,0.0,10.21,1.135
m,Tanaka,JAP,Japan,3,1906,0.356,4.86,4.47,6.391,6.407,10.19,0.0,10.19,3.396
m,Trincao,POR,Portugal,10,1984,0.3,5.4,4.81,6.454,7.058,10.18,0.0,10.18,1.018
m,Singh,NZL,New Zealand,1,1585,0.525,3.2,3.18,6.131,6.101,10.18,0.0,10.18,10.183
m,Galarza,PAR,Paraguay,1,1833,0.375,4.45,4.18,6.332,6.473,10.15,0.0,10.15,10.154
cb,Thiaw,GER,Germany,10,1925,0.3,5.05,4.6,6.406,6.522,9.0,1.12,10.13,1.013
st,Mastouri,TUN,Tunisia,1,1633,0.489,3.18,3.16,6.17,6.56,10.12,0.0,10.12,10.124
