fanta_role,name,team_name,value,club_goals_current_season,national_goals_current_season,national_appearances_current_season,national_team_matches_current_season,national_presence_ratio_current_season,transfermarkt_player_url,transfermarkt_match_status
gk,Ospina,COL,1,,,,,,,skipped_role
gk,Pandur,CRO,1,,,,,,,skipped_role
gk,Paulsen,NZL,1,,,,,,,skipped_role
gk,Penders,BEL,1,,,,,,,skipped_role
gk,Pentz,AUT,1,,,,,,,skipped_role
gk,Pierre,HAI,1,,,,,,,skipped_role
gk,Placide,HAI,1,,,,,,,skipped_role
gk,Ramirez M.,ECU,1,,,,,,,skipped_role
gk,Risser,FRA,1,,,,,,,skipped_role
gk,Room,CUW,1,,,,,,,skipped_role
gk,Rui Silva,POR,1,,,,,,,skipped_role
gk,Rulli,ARG,1,,,,,,,skipped_role
gk,Salah Zakaria,QAT,1,,,,,,,skipped_role
gk,Samba,FRA,1,,,,,,,skipped_role
gk,Samudio,PAN,1,,,,,,,skipped_role
gk,Selvik,NOR,1,,,,,,,skipped_role
gk,Soliman,EGY,1,,,,,,,skipped_role
gk,Stanek,RCE,1,,,,,,,skipped_role
gk,Tagnaouti,MAR,1,,,,,,,skipped_role
gk,Talib,IRQ,1,,,,,,,skipped_role
gk,Tangvik,NOR,1,,,,,,,skipped_role
gk,Turner,USA,1,,,,,,,skipped_role
gk,Valle,ECU,1,,,,,,,skipped_role
gk,Weverton,BRA,1,,,,,,,skipped_role
gk,Wiegele,AUT,1,,,,,,,skipped_role
gk,Woud,NZL,1,,,,,,,skipped_role
gk,Yusupov,UZB,1,,,,,,,skipped_role
gk,Zetterstrom,SVE,1,,,,,,,skipped_role
gk,Zlomislic,BOS,1,,,,,,,skipped_role
cb,Gabriel M,BRA,23,4,0,2,10,0.2,https://www.transfermarkt.it/gabriel/profil/spieler/435338,matched_fuzzy_position_87
cb,Ruben Dias,POR,23,2,0,2,10,0.2,https://www.transfermarkt.it/ruben-dias/profil/spieler/258004,matched_alias
cb,Saliba,FRA,23,1,0,1,10,0.1,https://www.transfermarkt.it/william-saliba/profil/spieler/495666,matched_alias
cb,Gvardiol,CRO,22,2,0,2,10,0.2,https://www.transfermarkt.it/josko-gvardiol/profil/spieler/475959,matched_alias
cb,Dumfries,OLA,21,5,0,3,10,0.3,https://www.transfermarkt.it/denzel-dumfries/profil/spieler/321528,matched_alias
cb,Hakimi,MAR,21,3,0,4,26,0.154,https://www.transfermarkt.it/achraf-hakimi/profil/spieler/398073,matched_alias
cb,Marquinhos,BRA,21,2,0,4,10,0.4,https://www.transfermarkt.it/marquinhos/profil/spieler/181767,matched_alias
cb,Nuno Mendes,POR,21,6,0,3,10,0.3,https://www.transfermarkt.it/nuno-mendes/profil/spieler/616341,matched_alias
cb,Araujo M.,URU,20,7,0,4,10,0.4,https://www.transfermarkt.it/maxi-araujo/profil/spieler/572675,matched_alias
cb,Cubarsi,SPA,20,1,0,2,10,0.2,https://www.transfermarkt.it/pau-cubarsi/profil/spieler/962110,matched_alias
cb,Kimmich,GER,20,2,0,4,10,0.4,https://www.transfermarkt.it/joshua-kimmich/profil/spieler/161056,matched_alias
cb,Timber J.,OLA,20,,,,10,,,unmatched_fuzzy_40
cb,Kounde,FRA,19,3,0,2,10,0.2,https://www.transfermarkt.it/jules-kounde/profil/spieler/411975,matched_alias
cb,Van De Ven,OLA,19,7,0,4,10,0.4,https://www.transfermarkt.it/micky-van-de-ven/profil/spieler/557459,matched_fuzzy_93
cb,Araujo R.,URU,18,4,0,3,10,0.3,https://www.transfermarkt.it/ronald-araujo/profil/spieler/480267,matched_alias
cb,Bremer,BRA,18,4,1,3,10,0.3,https://www.transfermarkt.it/bremer/profil/spieler/516716,matched_alias
cb,James R.,ING,18,2,0,2,10,0.2,https://www.transfermarkt.it/reece-james/profil/spieler/472423,matched_alias
cb,Upamecano,FRA,18,2,0,3,10,0.3,https://www.transfermarkt.it/dayot-upamecano/profil/spieler/344695,matched_alias
cb,Hincapie,ECU,17,1,0,4,10,0.4,https://www.transfermarkt.it/piero-hincapie/profil/spieler/659813,matched_alias
cb,Romero,ARG,17,6,0,6,9,0.667,https://www.transfermarkt.it/cristian-romero/profil/spieler/355915,matched_alias
cb,Hernandez T.,FRA,16,9,0,3,10,0.3,https://www.transfermarkt.it/theo-hernandez/profil/spieler/339808,matched_alias
cb,Konate,FRA,16,2,0,2,10,0.2,https://www.transfermarkt.it/ibrahima-konate/profil/spieler/357119,matched_alias
cb,Min-Jae Kim,KOR,16,1,0,10,13,0.769,https://www.transfermarkt.it/min-jae-kim/profil/spieler/503482,matched_alias
cb,Schlotterbeck,GER,16,5,0,4,10,0.4,https://www.transfermarkt.it/nico-schlotterbeck/profil/spieler/388198,matched_alias
cb,Davies,CAN,15,1,0,0,14,0.0,https://www.transfermarkt.it/alphonso-davies/profil/spieler/424204,matched_alias
cb,Hato,OLA,15,2,0,2,10,0.2,https://www.transfermarkt.it/jorrel-hato/profil/spieler/904802,matched_alias
cb,Quansah,ING,15,5,0,2,10,0.2,https://www.transfermarkt.it/jarell-quansah/profil/spieler/632349,matched_alias
cb,Ake,OLA,14,0,0,2,10,0.2,https://www.transfermarkt.it/nathan-ake/profil/spieler/177476,matched_alias
cb,Inacio,POR,14,3,0,3,10,0.3,https://www.transfermarkt.it/goncalo-inacio/profil/spieler/549006,matched_alias
cb,Molina,ARG,14,2,0,4,9,0.444,https://www.transfermarkt.it/nahuel-molina/profil/spieler/424042,matched_alias
cb,Porro,SPA,14,2,0,3,10,0.3,https://www.transfermarkt.it/pedro-porro/profil/spieler/553875,matched_alias
cb,Ait-Nouri,ALG,13,0,0,5,23,0.217,https://www.transfermarkt.it/rayan-ait-nouri/profil/spieler/578391,matched_alias
cb,Diomande,CIV,13,1,0,4,13,0.308,https://www.transfermarkt.it/ousmane-diomande/profil/spieler/974982,matched_alias_position
cb,Guehi,ING,13,5,0,4,10,0.4,https://www.transfermarkt.it/marc-guehi/profil/spieler/392757,matched_alias
cb,Martinez Li.,ARG,13,0,0,2,9,0.222,https://www.transfermarkt.it/lisandro-martinez/profil/spieler/480762,matched_alias
cb,Munoz D.,COL,13,5,0,5,10,0.5,https://www.transfermarkt.it/daniel-munoz/profil/spieler/493003,matched_alias
cb,Pacho,ECU,13,2,0,6,10,0.6,https://www.transfermarkt.it/willian-pacho/profil/spieler/661171,matched_alias
cb,Rudiger,GER,13,1,0,1,10,0.1,https://www.transfermarkt.it/antonio-rudiger/profil/spieler/86202,matched_alias
cb,Sarr M.,SEN,13,0,0,5,19,0.263,https://www.transfermarkt.it/mamadou-sarr/profil/spieler/910905,matched_alias
cb,Wieffer,OLA,13,2,0,1,10,0.1,https://www.transfermarkt.it/mats-wieffer/profil/spieler/415381,matched_alias
cb,Akanji,SVI,12,2,0,4,10,0.4,https://www.transfermarkt.it/manuel-akanji/profil/spieler/284730,matched_alias
cb,Dalot,POR,12,1,0,4,10,0.4,https://www.transfermarkt.it/diogo-dalot/profil/spieler/357147,matched_alias
